age,job,Marital,education,default,housing,loan,contact,Month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
56,housemaid,Married,basic.4y,no,no,no,telephone,May,Monday,261,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
57,services,Married,high.school,unknown,no,no,telephone,May,Monday,149,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,services,Married,high.school,no,yes,no,telephone,May,Monday,226,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
40,admin.,Married,basic.6y,no,no,no,telephone,May,Monday,151,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
56,services,Married,high.school,no,no,yes,telephone,May,Monday,307,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,services,Married,basic.9y,unknown,no,no,telephone,May,Monday,198,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
59,admin.,Married,professional.course,no,no,no,telephone,May,Monday,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,blue-collar,Married,unknown,unknown,no,no,telephone,May,Monday,217,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
24,technician,single,professional.course,no,yes,no,telephone,May,Monday,380,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
25,services,single,high.school,no,yes,no,telephone,May,Monday,50,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,blue-collar,Married,unknown,unknown,no,no,telephone,May,Monday,55,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
25,services,single,high.school,no,yes,no,telephone,May,Monday,222,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
29,blue-collar,single,high.school,no,no,yes,telephone,May,Monday,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
57,housemaid,divorced,basic.4y,no,yes,no,telephone,May,Monday,293,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,blue-collar,Married,basic.6y,no,yes,no,telephone,May,Monday,146,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
54,retired,Married,basic.9y,unknown,yes,yes,telephone,May,Monday,174,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,blue-collar,Married,basic.6y,no,yes,no,telephone,May,Monday,312,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
46,blue-collar,Married,basic.6y,unknown,yes,yes,telephone,May,Monday,440,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
50,blue-collar,Married,basic.9y,no,yes,yes,telephone,May,Monday,353,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
39,management,single,basic.9y,unknown,no,no,telephone,May,Monday,195,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
30,unemployed,Married,high.school,no,no,no,telephone,May,Monday,38,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
55,blue-collar,Married,basic.4y,unknown,yes,no,telephone,May,Monday,262,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
55,retired,single,high.school,no,yes,no,telephone,May,Monday,342,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,technician,single,high.school,no,yes,no,telephone,May,Monday,181,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,admin.,Married,high.school,no,yes,no,telephone,May,Monday,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,technician,Married,university.degree,no,no,yes,telephone,May,Monday,99,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
59,technician,Married,unknown,no,yes,no,telephone,May,Monday,93,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
